"dataquarter","ufficio","tipocontribuzione","tipologiadocumento","nomedocumento","datacaricamento"
"2024-06-30","Ufficio Pianificazione e Controllo","Contribuzione Fase 1","Assumptions Linked","Assumptions_linked_PC_2024_06.xlsm","2024-07-02 13:45:29"
"2024-06-30","Ufficio Pianificazione e Controllo","Contribuzione Fase 1","Assumptions Term","Assumptions_term_PC_2024_06.xlsm","2024-07-02 13:45:54"
"2024-06-30","Ufficio Pianificazione e Controllo","Contribuzione Fase 1","Assumptions Traditional","Assumptions_trad_PC_2024_06.xlsm","2024-07-02 13:44:42"
"2024-06-30","Ufficio Prodotti Vita","Contribuzione Fase 1","Assumptions Linked","assumptions_linked_SP_2024_06.xlsm","2024-07-08 09:23:33"
"2024-06-30","Ufficio Prodotti Vita","Contribuzione Fase 1","Assumptions Term","assumptions_term_SP_2024_06.xlsm","2024-07-08 09:24:27"
"2024-06-30","Ufficio Prodotti Vita","Contribuzione Fase 1","Assumptions Traditional","assumptions_trad_SP_2024_06.xlsm","2024-07-08 09:21:32"
"2024-06-30","Ufficio Modelli","Contribuzione Fase 1",,"assumptions_company_MD_2024_03.xlsm","2024-04-17 15:04:10"
"2024-06-30","Ufficio Modelli","Contribuzione Fase 1",,"vuoto.txt","2024-04-18 07:11:41"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Assumptions Linked","assumptions_linked_AAIT_2024_06.xlsm","2024-07-10 10:31:43"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Assumptions Scenario","assumptions_scenario_AAIT_2024_06.xlsm","2024-07-10 10:31:39"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Assumptions Term","assumptions_term_AAIT_2024_06.xlsm","2024-07-10 10:31:46"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Assumptions Traditional","assumptions_trad_AAIT_2024_06.xlsm","2024-07-10 10:31:41"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Base_noVA","Base_NoVA_2024-06.zip","2024-07-10 10:30:35"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Base_VA","Base_VA_2024-06.zip","2024-07-10 10:30:26"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Documents","EndJun2024_MC_SolvencyII_EIOPA_Documentation.zip","2024-07-10 10:37:43"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_DW_noVA","IRDownSII_NoVA_2024-06.zip","2024-07-10 10:30:38"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_DW_VA","IRDownSII_VA_2024-06.zip","2024-07-10 10:30:37"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_UP_noVA","IRUpSII_NoVA_2024-06.zip","2024-07-10 10:30:44"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_UP_VA","IRUpSII_VA_2024-06.zip","2024-07-10 10:30:40"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_UP_DUR","Sensitivity+10bps_VA_2024-06.zip","2024-07-10 10:37:07"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Altro","Sensitivity+50bps_VA_2024-06.zip","2024-07-10 10:37:47"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","IR_DW_DUR","Sensitivity-10bps_VA_2024-06.zip","2024-07-10 10:37:05"
"2024-06-30","Ufficio ALM Asset Allocation","Contribuzione Fase 1","Altro","Sensitivity-50bps_VA_2024-06.zip","2024-07-10 10:38:22"
